generation,updatedNum
1,20
2,16
3,13
4,12
5,12
6,16
7,5
8,10
9,10
10,7
11,8
12,6
13,10
14,10
15,3
16,10
17,10
18,8
19,6
20,10
21,6
22,9
23,2
24,9
25,6
26,4
27,8
28,7
29,4
30,9
31,8
32,11
33,7
34,9
35,9
36,9
37,5
38,9
39,12
40,6
41,16
42,8
43,12
44,5
45,6
46,12
47,8
48,3
49,5
50,5
51,7
52,4
53,7
54,9
55,8
56,10
57,7
58,6
59,5
60,7
61,4
62,13
63,6
64,6
65,6
66,14
67,9
68,10
69,12
70,12
71,13
72,10
73,11
74,10
75,14
76,10
77,9
78,13
79,7
80,12
81,9
82,10
83,13
84,11
85,11
86,9
87,9
88,5
89,11
90,7
91,11
92,9
93,14
94,13
95,10
96,4
97,6
98,7
99,7
