generation,truePopSize
1,57
2,56
3,55
4,58
5,55
6,54
7,57
8,49
9,49
10,46
11,49
12,47
13,48
14,42
15,36
16,33
17,32
18,27
19,33
20,27
21,20
22,19
23,18
24,18
25,19
26,17
27,16
28,17
29,26
30,22
31,22
32,19
33,18
34,18
35,18
36,19
37,20
38,19
39,20
40,22
41,24
42,24
43,23
44,29
45,26
46,27
47,26
48,26
49,25
50,25
51,23
52,25
53,27
54,25
55,24
56,24
57,23
58,24
59,23
60,22
61,24
62,22
63,23
64,23
65,22
66,21
67,19
68,18
69,17
70,17
71,16
72,16
73,17
74,20
75,20
76,19
77,19
78,18
79,19
80,19
81,19
82,19
83,21
84,21
85,22
86,22
87,25
88,23
89,21
90,22
91,23
92,22
93,23
94,22
95,22
96,22
97,22
98,22
99,23
